Country,Continent,City,Year,ProductPerCapita,UnemploymentRate,ImprovedWater,PhycisianDensityPer1000,InternetAccess,TrafficFatalitiesPer100k,LifeExpectancy,Under5MortalityRate,LiteracyRate,YearsOfSchooling,HomicideRate,Gini,PovertyRate,SlumHouseHolds,YouthUnemployment,CO2Emissions,VoterTurnout
Mexico,America,San Pedro Cholula,2015," 2,661.12 ", 1.45 , 70.84 , 1.96 , 26.59 , 3.17 , 74.47 , 27.37 , 95.42 , 10.10 , 13.32 , 0.45 , 12.39 , 22.24 , 3.79 , 3.90 , 46.82 
Mexico,America,Cadereyta de Montes,2015," 1,242.29 ", 4.71 , 96.39 , 3.38 , 1.17 , 5.95 , 75.09 , 12.40 , 86.26 , 7.82 , 17.63 , 0.44 , 40.60 , 38.67 , 11.96 , 3.90 , 64.28 
Mexico,America,El Marqués,2015," 11,680.37 ", 3.42 , 92.33 , 0.83 , 6.94 , 4.46 , 75.09 , 16.88 , 91.75 , 6.96 , 21.63 , 0.35 , 17.51 , 21.54 , 9.33 , 3.90 , 69.45 
Mexico,America,Querétaro,2015," 9,899.01 ", 2.95 , 97.86 , 3.63 , 35.06 , 4.16 , 75.09 , 12.53 , 96.13 , 10.95 , 14.55 , 0.46 , 8.29 , 6.62 , 8.39 , 3.90 , 65.04 
Mexico,America,San Juan del Río,2015," 8,011.96 ", 3.03 , 98.66 , 3.19 , 17.66 , 2.71 , 75.09 , 12.79 , 94.13 , 9.69 , 16.79 , 0.44 , 9.95 , 8.92 , 8.13 , 3.90 , 61.84 
Mexico,America,Othón P. Blanco,2015," 2,440.02 ", 1.52 , 98.41 , 3.66 , 20.73 , 4.38 , 75.34 , 13.00 , 92.34 , 9.52 , 18.37 , 0.46 , 16.91 , 12.65 , 4.89 , 3.90 , 44.94 
Mexico,America,Benito Juárez,2015," 4,320.22 ", 2.35 , 88.13 , 2.20 , 29.22 , 4.06 , 75.34 , 13.48 , 94.93 , 12.63 , 38.01 , 0.45 , 6.69 , 8.99 , 5.74 , 3.90 , 39.84 
Mexico,America,Solidaridad,2015," 7,573.52 ", 2.57 , 99.57 , 3.66 , 18.55 , 6.32 , 75.34 , 14.01 , 94.22 , 11.71 , 23.21 , 0.44 , 8.48 , 17.46 , 4.60 , 3.90 , 33.34 
Mexico,America,San Luis Potosí,2015," 11,193.39 ", 3.41 , 98.26 , 4.54 , 33.00 , 5.56 , 74.26 , 12.35 , 96.69 , 10.88 , 17.99 , 0.46 , 10.16 , 4.57 , 11.34 , 3.90 , 49.66 
Mexico,America,Soledad de Graciano Sánchez,2015," 1,689.38 ", 3.63 , 98.29 , 1.36 , 21.09 , 6.19 , 74.26 , 11.94 , 96.61 , 10.17 , 8.45 , 0.41 , 15.96 , 3.89 , 12.03 , 3.90 , 45.32 
Mexico,America,Ahome,2015," 3,179.23 ", 2.80 , 98.43 , 2.56 , 26.82 , 4.96 , 74.61 , 10.73 , 96.16 , 11.88 , 42.90 , 0.43 , 9.99 , 5.97 , 10.14 , 3.90 , 43.58 
Mexico,America,Culiacán,2015," 3,806.80 ", 1.89 , 98.27 , 3.69 , 33.32 , 6.86 , 74.61 , 9.97 , 95.64 , 10.92 , 63.42 , 0.44 , 10.06 , 3.78 , 6.38 , 3.90 , 33.61 
Mexico,America,Mazatlán,2015," 4,048.14 ", 2.41 , 97.90 , 2.50 , 33.29 , 7.03 , 74.61 , 11.42 , 96.52 , 10.69 , 32.03 , 0.42 , 10.10 , 10.49 , 8.23 , 3.90 , 41.87 
Mexico,America,Agua Prieta,2015," 3,478.11 ", 3.68 , 99.18 , 2.33 , 25.73 , 7.05 , 74.95 , 15.79 , 97.06 , 9.28 , 30.08 , 0.41 , 18.07 , 10.16 , 11.65 , 3.90 , 51.43 
Mexico,America,Caborca,2015," 2,593.32 ", 2.28 , 98.72 , 2.29 , 27.83 , 22.65 , 74.95 , 9.77 , 94.94 , 9.35 , 65.70 , 0.41 , 12.36 , 6.95 , 6.90 , 3.90 , 54.65 
Mexico,America,Cajeme,2015," 5,957.46 ", 2.97 , 98.49 , 5.28 , 31.64 , 8.71 , 74.95 , 13.56 , 96.71 , 10.29 , 45.70 , 0.42 , 7.45 , 4.84 , 11.35 , 3.90 , 56.67 
Mexico,America,Guaymas,2015," 6,040.78 ", 3.24 , 96.90 , 2.81 , 30.39 , 7.50 , 74.95 , 21.08 , 95.79 , 9.94 , 30.20 , 0.42 , 9.48 , 48.21 , 10.87 , 3.90 , 56.25 
Mexico,America,Hermosillo,2015," 11,647.40 ", 3.27 , 97.63 , 3.48 , 41.63 , 4.62 , 74.95 , 15.88 , 97.40 , 11.78 , 21.11 , 0.44 , 7.21 , 5.80 , 10.65 , 3.90 , 55.45 
Mexico,America,Nogales,2015," 5,789.72 ", 3.65 , 78.87 , 1.87 , 29.93 , 4.64 , 74.95 , 23.41 , 97.62 , 10.40 , 35.66 , 0.40 , 9.88 , 4.03 , 10.91 , 3.90 , 43.83 
Mexico,America,Centro,2015," 8,181.57 ", 2.15 , 97.65 , 5.67 , 25.18 , 4.30 , 74.43 , 17.18 , 95.29 , 11.52 , 29.70 , 0.47 , 10.74 , 6.64 , 7.05 , 3.90 , 67.72 
Mexico,America,Nacajuca,2015, 484.35 , 3.25 , 98.53 , 1.28 , 9.72 , 3.91 , 74.43 , 14.01 , 90.33 , 9.47 , 9.19 , 0.44 , 20.65 , 12.40 , 10.33 , 3.90 , 73.43 
Mexico,America,Altamira,2015," 9,907.58 ", 3.44 , 99.02 , 1.19 , 15.00 , 10.86 , 75.24 , 15.61 , 94.30 , 11.57 , 43.22 , 0.41 , 20.68 , 11.11 , 10.89 , 3.90 , 47.33 
Mexico,America,Matamoros,2015," 4,655.19 ", 4.00 , 94.45 , 2.65 , 23.22 , 5.65 , 75.24 , 16.01 , 95.16 , 11.63 , 49.88 , 0.42 , 12.30 , 6.05 , 13.10 , 3.90 , 45.99 
Mexico,America,Nuevo Laredo,2015," 4,496.56 ", 2.99 , 98.38 , 2.25 , 27.42 , 8.89 , 75.24 , 14.99 , 94.90 , 12.15 , 33.93 , 0.41 , 12.46 , 5.59 , 10.87 , 3.90 , 47.22 
Mexico,America,Reynosa,2015," 14,222.59 ", 2.27 , 98.32 , 2.41 , 22.49 , 6.52 , 75.24 , 14.73 , 95.14 , 12.05 , 32.96 , 0.41 , 10.47 , 7.94 , 5.97 , 3.90 , 35.05 
Mexico,America,Tampico,2015," 4,775.37 ", 2.89 , 98.79 , 3.33 , 38.23 , 4.58 , 75.24 , 14.12 , 95.82 , 12.39 , 33.81 , 0.44 , 8.73 , 5.24 , 11.31 , 3.90 , 46.39 
Mexico,America,Victoria,2015," 3,360.29 ", 1.96 , 97.63 , 5.76 , 34.35 , 6.69 , 75.24 , 11.85 , 95.51 , 12.50 , 29.29 , 0.46 , 6.74 , 8.01 , 8.74 , 3.90 , 59.09 
Mexico,America,Tlaxcala,2015," 3,695.15 ", 2.49 , 99.02 , 11.67 , 31.72 , 1.05 , 74.83 , 11.99 , 97.49 , 12.03 , 27.98 , 0.46 , 9.52 , 13.55 , 8.79 , 3.90 , 55.26 
Mexico,America,Boca del Río,2015," 5,732.14 ", 2.08 , 98.48 , 0.87 , 39.15 , 4.32 , 73.75 , 19.17 , 96.07 , 10.63 , 17.97 , 0.46 , 9.74 , 9.99 , 7.46 , 3.90 , 54.32 
Mexico,America,Coatzacoalcos,2015," 19,990.70 ", 2.40 , 95.27 , 3.35 , 28.33 , 4.37 , 73.75 , 15.12 , 94.71 , 9.87 , 7.11 , 0.44 , 9.54 , 15.05 , 7.86 , 3.90 , 44.79 
Mexico,America,Cosoleacaque,2015," 1,636.41 ", 2.32 , 78.04 , 0.96 , 17.63 , 8.01 , 73.75 , 17.86 , 91.95 , 8.79 , 13.45 , 0.47 , 14.14 , 20.41 , 7.21 , 3.90 , 48.07 
Mexico,America,Xalapa,2015," 2,466.63 ", 1.95 , 99.39 , 5.00 , 34.68 , 5.18 , 73.75 , 14.06 , 95.59 , 11.16 , 10.65 , 0.46 , 12.23 , 10.92 , 6.54 , 3.90 , 42.25 
Mexico,America,Medellín,2015," 2,046.34 ", 1.66 , 93.08 , 0.67 , 12.45 , 1.43 , 73.75 , 22.88 , 93.39 , 10.00 , 2.78 , 0.42 , 12.81 , 3.76 , 5.47 , 3.90 , 47.38 
Mexico,America,Minatitlán,2015," 13,911.09 ", 2.00 , 85.47 , 4.67 , 24.12 , 0.62 , 73.75 , 11.39 , 92.41 , 9.73 , 11.04 , 0.47 , 15.38 , 8.67 , 6.87 , 3.90 , 46.27 
Mexico,America,Naolinco,2015, 605.24 , 0.79 , 98.61 , 2.81 , 7.98 , 71.45 , 73.75 , 5.39 , 86.82 , 8.59 , 18.90 , 0.42 , 25.47 , 24.39 , 2.05 , 3.90 , 73.04 
Mexico,America,Veracruz,2015," 8,706.90 ", 2.32 , 97.24 , 6.36 , 29.45 , 2.09 , 73.75 , 12.32 , 96.12 , 10.72 , 15.34 , 0.47 , 8.71 , 8.02 , 7.72 , 3.90 , 41.57 
Mexico,America,Kanasín,2015," 1,065.45 ", 1.83 , 95.55 , 0.71 , 9.16 , 1.07 , 75.25 , 25.90 , 92.23 , 8.53 , 13.39 , 0.40 , 18.37 , 13.52 , 5.42 , 3.90 , 53.54 
Mexico,America,Mérida,2015," 7,239.20 ", 1.56 , 97.20 , 5.31 , 34.20 , 0.23 , 75.25 , 11.84 , 95.66 , 11.84 , 5.08 , 0.45 , 8.22 , 5.60 , 5.39 , 3.90 , 54.83 
Mexico,America,Umán,2015," 10,363.42 ", 1.36 , 97.04 , 2.61 , 8.78 , 1.93 , 75.25 , 20.03 , 91.66 , 7.94 , 11.51 , 0.39 , 17.88 , 19.28 , 4.59 , 3.90 , 59.53 
Mexico,America,Guadalupe,2015," 2,794.45 ", 2.34 , 96.92 , 2.18 , 29.53 , 5.15 , 74.81 , 11.74 , 96.95 , 10.83 , 3.93 , 0.46 , 11.75 , 19.22 , 7.43 , 3.90 , 45.50 
Mexico,America,Zacatecas,2015," 3,569.78 ", 2.23 , 98.42 , 9.05 , 36.16 , 2.80 , 74.81 , 10.35 , 97.36 , 11.29 , 9.74 , 0.47 , 9.07 , 13.55 , 8.24 , 3.90 , 50.52 
Panama,America,Panama City,2014," 7,974.23 ", 6.95 , 95.81 , 2.60 , 33.59 , 7.20 , 78.60 , 13.10 , 98.18 , 9.53 , 32.78 , 0.47 , 13.20 , 37.00 , 10.20 , 2.62 , 76.76 
Peru,America,Lima,2014," 11,945.44 ", 5.03 , 93.40 , 1.19 , 48.20 , 27.20 , 79.45 , 1.60 , 97.70 , 11.10 , 26.00 , 0.33 , 0.70 , 22.40 , 12.33 , 1.76 , 81.01 
Canada,America,Montreal,2015," 42,028.96 ", 7.77 , 100.00 , 1.99 , 76.20 , 6.10 , 81.50 , 5.20 , 98.00 , 12.30 , 1.60 , 0.29 , 0.34 , 1.00 , 13.01 , 13.02 , 61.11 
Canada,America,Toronto,2015," 43,575.64 ", 7.80 , 100.00 , 1.84 , 83.30 , 6.10 , 81.80 , 5.20 , 98.00 , 12.30 , 1.30 , 0.31 , 0.34 , 1.00 , 16.10 , 14.82 , 61.11 
United States,America,Chicago,2015," 52,715.64 ", 8.69 , 100.00 , 2.62 , 67.00 , 10.60 , 79.00 , 6.90 , 98.00 , 12.90 , 4.70 , 0.40 , 1.67 , 1.00 , 19.42 , 16.88 , 61.00 
United States,America,New York,2015," 51,603.63 ", 8.89 , 100.00 , 3.51 , 68.00 , 10.60 , 80.50 , 6.90 , 98.00 , 12.90 , 5.10 , 0.40 , 1.67 , 1.00 , 15.67 , 17.71 , 58.00 
China,Asia,Beijing,2015," 16,899.05 ", 1.21 , 98.00 , 2.04 , 45.80 , 4.07 , 75.35 , 13.00 , 98.48 , 7.50 , 0.16 , 0.32 , 6.26 , -- , 10.10 , 6.19 , -   
China,Asia,Hong Kong,2015," 38,123.52 ", 3.40 , 95.50 , 2.04 , 45.80 , 1.38 , 83.75 , 13.00 , 95.12 , 10.00 , 0.40 , 0.49 , 1.00 , 51.00 , 9.10 , 6.19 , 18.49 
China,Asia,Shanghai,2015," 16,425.22 ", 3.98 , 98.00 , 2.04 , 45.80 , 3.78 , 75.35 , 13.00 , 96.36 , 7.50 , 0.16 , 0.32 , 6.26 , -- , 10.10 , 6.19 , -   
Japan,Asia,Osaka,2015," 113,504.51 ", 4.96 , 100.00 , 2.41 , 78.50 , 4.10 , 82.70 , 2.90 , 98.00 , 11.50 , 0.30 , 0.34 , 0.35 , 1.00 , 6.90 , 7.06 , 59.00 
Japan,Asia,Tokyo,2015," 35,711.93 ", 4.62 , 100.00 , 2.12 , 86.00 , 4.10 , 83.00 , 2.90 , 97.36 , 11.50 , 0.20 , 0.34 , 0.35 , 1.00 , 5.84 , 6.80 , 52.66 
Mongolia,Asia,Ulaanbaatar,2015," 13,991.29 ", 4.60 , 69.90 , 4.02 , 24.50 , 17.78 , 70.65 , 111.00 , 98.26 , 8.30 , 10.88 , 0.37 , 5.20 , 46.10 , 17.10 , 6.64 , 66.79 
Indonesia,Asia,Jakarta,2015," 32,428.15 ", 9.48 , 94.80 , 0.20 , 63.44 , 12.09 , 70.82 , 31.00 , 98.83 , 7.50 , 0.76 , 0.43 , 2.68 , 39.90 , 19.56 , 1.80 , 69.58 
Singapore,Asia,Singapore,2015," 78,763.38 ", 2.00 , 100.00 , 2.00 , 73.00 , 2.94 , 82.10 , 2.70 , 96.50 , 10.50 , 0.20 , 0.46 , 1.00 , -- , 6.70 , 2.66 , 94.65 
Thailand,Asia,Bangkok,2015," 53,335.68 ", 0.13 , 100.00 , 1.07 , 22.22 , 41.19 , 74.40 , 13.10 , 97.50 , 7.30 , 3.84 , 0.40 , 0.31 , 9.90 , 0.61 , 3.22 , 46.79 
Vietnam,Asia,Can Tho,2015," 5,338.37 ", 5.30 , 70.20 , 1.45 , 19.42 ,, 75.50 , 16.00 , 94.00 , 10.60 , 1.10 , 0.38 , 32.18 , 38.60 , 4.40 , 1.70 , 99.82 
Vietnam,Asia,Da Nang,2015," 6,260.45 ", 4.70 , 98.70 , 1.42 , 32.82 , 9.30 , 74.80 , 16.40 , 98.05 , 10.60 ,, 0.37 , 5.10 , 5.10 , 5.00 , 1.70 , 99.89 
Vietnam,Asia,Ha Noi,2015," 5,038.02 ", 6.70 , 99.90 , 1.55 , 25.20 , 8.07 , 74.90 , 16.00 , 99.10 , 12.50 , 0.62 , 0.34 , 10.40 , 6.00 , 3.10 , 2.73 , 98.98 
Vietnam,Asia,Hai Phong,2015," 5,406.18 ", 4.20 , 99.70 , 0.87 , 19.39 , 4.60 , 74.50 , 17.70 , 98.40 , 10.00 ,, 0.32 , 6.50 , 10.10 , 4.50 , 1.70 , 99.42 
Vietnam,Asia,Ho Chi Minh,2015," 4,931.45 ", 5.88 , 99.30 , 1.53 , 33.96 , 9.00 , 75.80 , 13.40 , 97.30 , 10.30 , 1.30 , 0.35 , 0.30 , 5.20 , 3.70 , 4.70 , 99.36 
Austria,Europe,Vienna,2015," 42,873.16 ", 6.54 , 100.00 , 6.62 , 79.70 , 5.40 , 80.00 , 3.90 , 98.00 , 10.80 , 1.40 , 0.31 , 0.50 , 1.00 , 14.96 , 14.23 , 75.00 
Belgium,Europe,Brussels,2015," 40,179.41 ", 11.34 , 100.00 , 5.92 , 74.00 , 6.50 , 80.40 , 4.40 , 98.00 , 10.90 , 2.60 , 0.35 , 0.50 , 1.00 , 39.89 , 9.48 , 89.37 
Czech Republic,Europe,Prague,2015," 31,332.36 ", 3.60 , 100.00 , 7.53 , 72.70 , 6.10 , 79.60 , 3.60 , 98.00 , 12.30 , 1.40 , 0.29 , 0.03 , 1.00 , 9.66 , 13.04 , 59.08 
Denmark,Europe,Copenhagen,2015," 45,665.92 ", 7.86 , 100.00 , 3.02 , 84.00 , 3.40 , 79.60 , 3.50 , 98.00 , 12.10 , 1.10 , 0.24 , 0.67 , 1.00 , 13.81 , 7.05 , 87.74 
Finland,Europe,Helsinki,2015," 46,413.90 ", 7.10 , 100.00 , 4.40 , 92.00 , 4.80 , 80.90 , 2.60 , 98.00 , 10.30 , 2.00 , 0.27 , -   , 1.00 , 17.19 , 15.78 , 68.86 
France,Europe,Paris,2015," 41,737.50 ", 8.55 , 100.00 , 4.04 , 81.30 , 5.10 , 83.60 , 4.20 , 98.00 , 11.10 , 1.60 , 0.34 , 0.33 , 1.00 , 18.35 , 7.91 , 80.35 
Germany,Europe,Berlin,2015," 43,567.81 ", 10.06 , 100.00 , 4.54 , 83.30 , 4.00 , 80.80 , 3.90 , 98.00 , 12.90 , 1.00 , 0.28 , 0.34 , 1.00 , 14.37 , 12.10 , 71.53 
Greece,Europe,Athens,2015," 27,853.60 ", 25.35 , 100.00 , 8.48 , 60.70 , 7.90 , 80.50 , 4.40 , 98.00 , 10.20 , 2.42 , 0.32 , 1.37 , 1.00 , 60.59 , 5.13 , 62.47 
Hungary,Europe,Budapest,2015," 25,021.27 ", 9.23 , 100.00 , 3.88 , 75.30 , 5.90 , 76.50 , 6.10 , 98.00 , 11.30 , 1.60 , 0.28 , 0.05 , 1.00 , 25.85 , 9.45 , 61.84 
Ireland,Europe,Dublin,2015," 45,042.34 ", 14.09 , 97.07 , 3.13 , 69.00 , 4.10 , 81.04 , 3.80 , 98.00 , 11.60 , 2.00 , 0.40 , 0.36 , 4.90 , 26.70 , 12.37 , 56.11 
Italy,Europe,Milan,2015," 41,330.99 ", 7.48 , 100.00 , 4.10 , 63.30 , 6.00 , 82.90 , 3.60 , 99.02 , 10.10 , 0.90 , 0.30 , 1.35 , 1.00 , 30.80 , 7.43 , 75.19 
Netherlands,Europe,Amsterdam-Utrecht,2015," 45,983.41 ", 5.40 , 100.00 , 2.87 , 85.00 , 3.40 , 80.80 , 4.00 , 98.00 , 11.90 , 4.42 , 0.27 , 0.35 , 1.00 , 11.82 , 15.06 , 74.56 
Norway,Europe,Oslo,2015," 68,917.01 ", 3.19 , 100.00 , 5.39 , 88.30 , 3.70 , 81.70 , 2.80 , 98.00 , 12.60 , 3.20 , 0.29 , 0.67 , 1.00 , 10.29 , 14.61 , 78.23 
Poland,Europe,Warsaw,2015," 26,383.82 ", 8.00 , 100.00 , 2.56 , 67.00 , 8.80 , 77.20 , 5.20 , 99.74 , 11.80 , 1.20 , 0.30 , -   , 1.00 , 19.32 , 8.33 , 55.00 
Portugal,Europe,Lisbon,2015," 25,491.93 ", 17.46 , 100.00 , 5.62 , 70.30 , 6.80 , 80.70 , 4.20 , 94.74 , 9.60 , 0.60 , 0.35 , 0.50 , 1.00 , 45.49 , 5.10 , 58.00 
Spain,Europe,Barcelona,2015," 33,582.49 ", 22.65 , 100.00 , 3.16 , 70.30 , 3.60 , 82.70 , 4.20 , 98.00 , 9.60 , 0.80 , 0.30 , 2.34 , 1.00 , 50.68 , 5.74 , 68.94 
Spain,Europe,Madrid,2015," 36,815.94 ", 19.24 , 100.00 , 5.45 , 75.30 , 3.60 , 84.00 , 4.20 , 98.00 , 9.60 , 0.90 , 0.32 , 2.34 , 1.00 , 48.86 , 7.14 , 68.94 
Sweden,Europe,Stockholm,2015," 50,076.59 ", 6.87 , 100.00 , 4.55 , 90.00 , 2.70 , 82.20 , 4.20 , 98.00 , 12.20 , 0.70 , 0.30 , 0.35 , 1.00 , 19.85 , 6.17 , 85.00 
Switzerland,Europe,Zurich,2015," 59,338.52 ", 3.60 , 100.00 , 4.66 , 83.00 , 3.30 , 82.90 , 3.00 , 98.00 , 11.70 , 0.60 , 0.32 , 0.50 , 1.00 , 6.85 , 6.70 , 20.50 
United Kingdom,Europe,London,2015," 37,929.24 ", 8.10 , 100.00 , 3.41 , 89.70 , 2.80 , 81.40 , 4.60 , 98.00 , 12.30 , 1.30 , 0.41 , 1.01 , 1.00 , 24.66 , 7.87 , 65.80 
United Kingdom,Europe,Manchester,2015," 36,030.00 ", 8.74 , 100.00 , 2.73 , 83.00 , 2.80 , 79.40 , 4.60 , 98.00 , 12.30 , 1.30 , 0.30 , 1.01 , 1.00 , 19.25 , 5.69 , 65.80 
Australia,Oceania,Melbourne,2015," 44,646.55 ", 5.47 , 100.00 , 3.51 , 74.50 , 5.10 , 82.40 , 4.00 , 98.00 , 12.80 , 1.10 , 0.33 , 1.20 , 1.00 , 12.52 , 16.93 , 93.23 
Australia,Oceania,Sydney,2015," 43,519.25 ", 5.74 , 100.00 , 3.52 , 74.00 , 5.10 , 82.00 , 4.00 , 98.00 , 12.80 , 1.10 , 0.34 , 0.50 , 1.00 , 11.83 , 16.93 , 93.23 
,,,,,,,,,,,,,,,,,,,,