OwnHome,Food
No,9130.73
No,6754.48
No,6317.55
Yes,2494.45
No,6798.94
No,6167.00
No,6275.61
Yes,3305.70
Yes,2260.17
No,6102.03
Yes,2985.42
No,6269.39
No,6722.01
No,6362.24
No,6583.72
No,6269.75
No,9129.66
Yes,2263.81
No,7746.63
Yes,2044.21
Yes,4548.61
Yes,4516.90
No,7046.11
Yes,2082.23
No,8369.88
Yes,3787.29
No,8795.73
No,6798.94
No,6769.31
No,6102.03
Yes,3760.10
No,6397.40
Yes,3285.29
Yes,3465.14
No,6102.03
Yes,2424.61
No,8714.03
No,9350.13
Yes,3840.28
Yes,3333.11
Yes,2040.42
Yes,2216.70
No,7046.98
No,7617.69
Yes,3362.86
Yes,2422.98
Yes,2844.24
No,9185.28
No,6140.91
No,6334.03
Yes,3787.29
Yes,1706.89
Yes,3362.86
Yes,3042.09
Yes,2682.54
Yes,3690.13
No,7138.34
Yes,3375.37
No,8117.12
Yes,3646.63
No,5020.72
No,5736.34
No,5898.74
No,5293.05
No,5450.85
No,5193.61
No,5180.13
No,5124.22
No,5560.73
No,5751.82
No,5391.08
No,5101.83
No,5011.88
No,5266.72
No,5198.85
No,5472.07
No,5560.73
No,5465.98
No,5560.73
No,5222.30