Quarter,Mortgage,HERevolving,AutoLoan,CreditCard,StudentLoan,Other,Total,Population
2003:Q1,4.94,0.24,0.64,0.69,0.24,0.48,7.23,0.000289609
2003:Q2,5.08,0.26,0.62,0.69,0.24,0.49,7.38,0.000290253
2003:Q3,5.18,0.27,0.68,0.69,0.25,0.48,7.56,0.000290974
2003:Q4,5.66,0.3,0.7,0.7,0.25,0.45,8.07,0.000291669
2004:Q1,5.84,0.33,0.72,0.7,0.26,0.45,8.29,0.000292237
2004:Q2,5.97,0.37,0.74,0.7,0.26,0.42,8.46,0.000292875
2004:Q3,6.21,0.43,0.75,0.71,0.33,0.41,8.83,0.000293603
2004:Q4,6.36,0.47,0.73,0.72,0.35,0.42,9.04,0.000294334
2005:Q1,6.51,0.5,0.73,0.71,0.36,0.39,9.21,0.000294957
2005:Q2,6.7,0.53,0.77,0.72,0.37,0.4,9.49,0.000295588
2005:Q3,6.91,0.54,0.83,0.73,0.38,0.41,9.79,0.00029634
2005:Q4,7.1,0.57,0.79,0.74,0.39,0.42,10,0.000297086
2006:Q1,7.44,0.58,0.79,0.72,0.43,0.42,10.38,0.000297736
2006:Q2,7.76,0.59,0.8,0.74,0.44,0.42,10.75,0.000298408
2006:Q3,8.05,0.6,0.82,0.75,0.45,0.44,11.11,0.00029918
2006:Q4,8.23,0.6,0.82,0.77,0.48,0.41,11.31,0.000299946
2007:Q1,8.42,0.61,0.79,0.76,0.51,0.4,11.5,0.000300609
2007:Q2,8.71,0.62,0.81,0.8,0.51,0.41,11.85,0.000301284
2007:Q3,8.93,0.63,0.82,0.82,0.53,0.41,12.13,0.000302062
2007:Q4,9.1,0.65,0.82,0.84,0.55,0.42,12.37,0.000302829
2008:Q1,9.23,0.66,0.81,0.84,0.58,0.42,12.54,0.000303494
2008:Q2,9.27,0.68,0.81,0.85,0.59,0.4,12.6,0.00030416
2008:Q3,9.29,0.69,0.81,0.86,0.61,0.41,12.68,0.000304902
2008:Q4,9.26,0.71,0.79,0.87,0.64,0.41,12.67,0.000305616
2009:Q1,9.14,0.71,0.77,0.84,0.66,0.41,12.53,0.000306237
2009:Q2,9.06,0.71,0.74,0.82,0.68,0.39,12.41,0.000306866
2009:Q3,8.94,0.71,0.74,0.81,0.69,0.38,12.28,0.000307573
2009:Q4,8.84,0.71,0.72,0.8,0.72,0.38,12.17,0.000308285
2010:Q1,8.83,0.7,0.7,0.76,0.76,0.36,12.12,0.000308901
2010:Q2,8.7,0.68,0.7,0.74,0.76,0.35,11.94,0.000309488
2010:Q3,8.61,0.67,0.71,0.73,0.78,0.34,11.84,0.000310148
2010:Q4,8.45,0.67,0.71,0.73,0.81,0.34,11.71,0.000310817
2011:Q1,8.54,0.64,0.71,0.7,0.84,0.33,11.75,0.000311376
2011:Q2,8.52,0.62,0.71,0.69,0.85,0.33,11.73,0.00031194
2011:Q3,8.4,0.64,0.73,0.69,0.87,0.33,11.66,0.000312606
2011:Q4,8.27,0.63,0.73,0.7,0.87,0.33,11.54,0.000313258
2012:Q1,8.19,0.61,0.74,0.68,0.9,0.32,11.44,0.000313813
2012:Q2,8.15,0.59,0.75,0.67,0.91,0.31,11.38,0.000314373
2012:Q3,8.03,0.57,0.77,0.67,0.96,0.31,11.31,0.00031503
2012:Q4,8.03,0.56,0.78,0.68,0.97,0.32,11.34,0.000315685
2013:Q1,7.93,0.55,0.79,0.66,0.99,0.31,11.23,0.000316196
2013:Q2,7.84,0.54,0.81,0.67,0.99,0.3,11.15,0.000316733
2013:Q3,7.9,0.54,0.85,0.67,1.03,0.3,11.28,0.000317396
2013:Q4,8.05,0.53,0.86,0.68,1.08,0.32,11.52,0.000318072
2014:Q1,8.17,0.53,0.88,0.66,1.11,0.31,11.65,0.000318645
2014:Q2,8.1,0.52,0.91,0.67,1.12,0.32,11.63,0.000319228
2014:Q3,8.13,0.51,0.93,0.68,1.13,0.33,11.71,0.000319919
2014:Q4,8.17,0.51,0.96,0.7,1.16,0.34,11.83,0.000320611
2015:Q1,8.17,0.51,0.97,0.68,1.19,0.33,11.85,0.000321168
2015:Q2,8.12,0.5,1.01,0.7,1.19,0.34,11.85,0.000321744
2015:Q3,8.26,0.49,1.05,0.71,1.2,0.35,12.07,0.000322428
2015:Q4,8.25,0.49,1.06,0.73,1.23,0.35,12.12,0.00032311
2016:Q1,8.37,0.49,1.07,0.71,1.26,0.35,12.25,0.000323689
2016:Q2,8.36,0.48,1.1,0.73,1.26,0.36,12.29,0.000324265
2016:Q3,8.35,0.47,1.14,0.75,1.28,0.37,12.35,0.000324926
2016:Q4,8.48,0.47,1.16,0.78,1.31,0.38,12.58,0.000325557
2017:Q1,8.63,0.46,1.17,0.76,1.34,0.37,12.73,0.000326053
2017:Q2,8.69,0.45,1.19,0.78,1.34,0.38,12.84,0.000326554
2017:Q3,8.74,0.45,1.21,0.81,1.36,0.39,12.96,0.00032714
2017:Q4,8.88,0.44,1.22,0.83,1.38,0.39,13.15,0.000327692
2018:Q1,8.94,0.44,1.23,0.82,1.41,0.39,13.21,0.000328091
2018:Q2,9,0.43,1.24,0.83,1.41,0.39,13.29,0.000328526
2018:Q3,9.14,0.42,1.27,0.84,1.44,0.4,13.51,0.00032904
2018:Q4,9.12,0.41,1.27,0.87,1.46,0.41,13.54,0.000329522
2019:Q1,9.24,0.41,1.28,0.85,1.49,0.4,13.67,0.000329868
2019:Q2,9.41,0.4,1.3,0.87,1.48,0.41,13.86,0.000330245
2019:Q3,9.44,0.4,1.32,0.88,1.5,0.43,13.95,0.000330729
2019:Q4,9.56,0.39,1.33,0.93,1.51,0.43,14.15,0.000331208
2020:Q1,9.71,0.39,1.35,0.89,1.54,0.43,14.3,0.000331534
2020:Q2,9.78,0.375,1.34,0.82,1.54,0.42,14.27,0.000331699
2020:Q3,9.86,0.362,1.36,0.81,1.55,0.42,14.35,0.000331872
2020:Q4,10.043,0.349,1.374,0.819,1.555,0.419,14.559,0.000332045
2021:Q1,10.16,0.335,1.382,0.77,1.584,0.413,14.644,0.000331989
2021:Q2,10.442,0.322,1.415,0.787,1.57,0.421,14.957,0.000332149
2021:Q3,10.672,0.317,1.443,0.804,1.584,0.423,15.243,0.00033248
2021:Q4,10.93,0.318,1.458,0.856,1.576,0.438,15.576,0.000332786
2022:Q1,11.18,0.317,1.469,0.841,1.59,0.445,15.842,0.000332978
2022:Q2,11.387,0.319,1.502,0.887,1.589,0.47,16.154,0.000333321
2022:Q3,11.669,0.322,1.524,0.925,1.574,0.491,16.505,0.000333799
2022:Q4,11.923,0.336,1.552,0.986,1.595,0.507,16.899,0.000334282
2023:Q1,12.044,0.339,1.562,0.986,1.604,0.512,17.047,0.000334641
2023:Q2,12.014,0.34,1.582,1.031,1.569,0.527,17.063,0.000335019
2023:Q3,12.14,0.349,1.595,1.079,1.599,0.529,17.291,0.000335501
2023:Q4,12.25,0.36,1.61,1.13,1.60,0.55,17.50,0.000335923
2024:Q1,12.44,0.38,1.62,1.12,1.60,0.54,17.69,0.000336308
2024:Q2,12.52,0.38,1.63,1.14,1.59,0.54,17.80,0.000336692